ID,面积,周长,暴雨,比降,断层,岩性,最大高程,最小高程,相对高差,主沟长度,面积_T,周长_T,暴雨_T,比降_T,断层_T,岩性_T,最大高程_T,最小高程_T,相对高差_T,主沟长度_T,category
T001,65924920,37022,58,0.79,1,4380,1557,2823,12031,235,0.6096646085271372,0.7979669170254644,-3.1371182335782617,-0.30165890651955124,-0.3023715784073817,1.317287090231325,1.679792819221238,0.8510849867112366,0.4784214172060946,-0.7441121879430229,2
T002,30245122,26890,57,0.79,1,4520,1557,2963,10973,270,-0.00494931151602703,0.24586003000987627,-3.368810865304869,-0.30165890651955124,-0.3023715784073817,1.49480195463828,1.679792819221238,1.0538139113030174,0.3277294314473506,-0.5601146848308974,2
T003,45788150,31986,57,0.85,2,4640,1549,3091,11612,266,0.26279215295136327,0.5235482155834488,-3.368810865304869,0.8366765897806392,0.45355736761107274,1.6469575527013842,1.6500066179760702,1.2391660709297883,0.41874283305400223,-0.5811429709008546,2
T004,105370617,50908,72,0.78,3,5120,1620,3500,17338,202,1.2891492418763755,1.554634527872134,0.10657861059423783,-0.49138148923624997,1.209486313629527,2.255579944953801,1.9143591540269342,1.8314241434872045,1.2343026728031212,-0.9175955480201698,1
T005,10352295,14824,62,0.85,1,4220,1561,2659,5731,464,-0.34761964791228406,-0.4116332288462317,-2.210347706671833,0.8366765897806392,-0.3023715784073817,1.1144129594805194,1.6946859198438218,0.6136025321894364,-0.418893809901738,0.4597571895620266,2
T006,12362264,23091,57,0.85,1,4520,1560,2960,10966,270,-0.31299627571003,0.038847193080127046,-3.368810865304869,0.8366765897806392,-0.3023715784073817,1.49480195463828,1.6909626446881758,1.0494697200617649,0.32673241452834195,-0.5601146848308974,2
T007,4305603,10410,62,0.83,1,3546,1560,1986,4193,474,-0.4517788999745755,-0.6521582781244399,-2.210347706671833,0.4572314243472417,-0.3023715784073817,0.2598056836927506,1.6909626446881758,-0.360944369598195,-0.637952670106793,0.5123279047369196,2
T008,77822763,44179,66,0.82,2,5120,1540,3580,16700,214,0.8146147578045553,1.1879618825180192,-1.283577179765405,0.26750884163054295,0.45355736761107274,2.255579944953801,1.6164971415752565,1.9472692432539365,1.1434317021848994,-0.8545106898102982,1
T009,8159210,13863,59,0.88,2,3868,1522,2346,5820,403,-0.38539734409873283,-0.46399946635333594,-2.905425601851655,1.4058443379307355,0.45355736761107274,0.6680898718287469,1.5494781887736289,0.16035857935209819,-0.4062174519314845,0.13907582699517934,2
T010,15576998,18179,59,0.82,2,4060,1524,2536,7482,339,-0.25761983367871466,-0.2288145744900041,-2.905425601851655,0.26750884163054295,0.45355736761107274,0.9115388287297137,1.5569247390849208,0.43549069129808626,-0.16949714916113248,-0.19737675012413583,2
T011,48715036,42261,65,0.8,2,4520,1523,2997,18443,163,0.31321017600125434,1.083447373112581,-1.515269811492012,-0.11193632380285247,0.45355736761107274,1.49480195463828,1.5532014639292748,1.1030480787038783,1.3916889150180665,-1.1226213372022524,1
T012,5712959,14504,62,0.76,1,3544,1527,2017,6468,312,-0.42753603323927986,-0.4290704775478689,-2.210347706671833,-0.8708266546696475,-0.3023715784073817,0.2572697570583655,1.5680945645518587,-0.3160543934385864,-0.31392217142896456,-0.3393176810963469,2
T013,2833503,8519,60,0.88,1,3331,1520,1811,2915,621,-0.4771370354577288,-0.7552015196706774,-2.6737329701250476,1.4058443379307355,-0.3023715784073817,-0.012806429503644492,1.542031638462337,-0.6143555253379208,-0.8199794733200962,1.2851174178078466,2
T014,7729837,14356,60,0.82,2,3934,1520,2414,6118,395,-0.39279364781913767,-0.43713520507237613,-2.6737329701250476,0.26750884163054295,0.45355736761107274,0.7517754507634543,1.542031638462337,0.25882691415382025,-0.3637730173793997,0.09701925485526494,2
T015,3910963,9668,60,0.84,1,3136,1519,1617,3480,465,-0.4585768991506312,-0.6925908985513612,-2.6737329701250476,0.6469540070639405,-0.3023715784073817,-0.26005927635618886,1.538308363306691,-0.8952798922722455,-0.739505964857251,0.4650142610795159,2
